id,citation_count_without_self_citations,citation_count,number_of_pages,preprint_date,author_count,refereed,document_type,publication_type,number_of_references
494930,3,6,20.0,1999-02-01,4,False,conference paper,research,18
501446,5,11,15.0,1999-06-01,4,True,conference paper,research,17
504617,34,99,197.0,1999-07-01,2,True,article,research,39
506369,9,17,4.0,1999-08-01,1,True,article,research,19
504971,47,82,98.0,1999-08-01,2,True,article,review,106
500872,160,177,5.0,1999-05-01,2,True,article,research,52
496080,80,112,35.0,1999-03-01,2,True,article,research,35
498382,41,48,4.0,1999-04-01,2,True,article,research,27
508212,85,85,12.0,1999-10-01,1,True,article,research,17
508617,50,96,14.0,1999-08-01,3,True,article,research,18
504700,1,1,22.0,1999-07-01,7,True,article,research,24
504770,18,18,6.0,1999-07-01,1,True,article,research,15
501519,0,4,16.0,1999-06-01,3,True,article,research,5
509880,0,6,9.0,1999-11-01,2,True,article,research,29
516118,0,0,9.0,1999-01-01,1,True,conference paper,research,20
495912,8,15,9.0,1999-02-01,3,True,article,research,11
494179,9,34,22.0,1999-01-01,6,True,article,research,14
495048,0,0,12.0,1999-02-01,3,True,article,research,69
497321,46,52,35.0,1999-03-01,2,True,article,research,64
496000,25,31,24.0,1999-02-01,2,True,article,research,61
496006,17,22,42.0,1999-01-01,2,True,article,research,42
495713,77,100,8.0,1999-02-01,3,True,article,research,31
495786,30,45,4.0,1999-02-01,3,True,article,research,9
507654,4,6,24.0,1999-09-01,1,True,article,research,18
508800,23,43,7.0,1999-09-01,3,True,article,research,27
510168,5,8,11.0,1999-11-01,2,True,article,research,12
507861,2,3,2.0,1999-09-01,1,True,article,research,1
508321,1,1,5.0,1999-08-01,1,False,conference paper,research,17
503982,9,9,4.0,1999-05-01,4,True,conference paper,research,7
505269,0,0,5.0,1999-05-01,2,True,article,research,4
494276,2,5,27.0,1999-01-01,3,True,article,research,41
494383,63,87,50.0,1999-01-01,4,True,article,research,56
494386,5,14,4.0,1999-01-01,3,True,article,research,36
498669,14,31,13.0,1999-04-01,3,True,article,research,30
499315,0,1,10.0,1999-05-01,1,True,conference paper,research,12
499386,4,5,22.0,1999-05-01,2,True,article,research,19
503458,16,24,14.0,1999-07-01,2,True,article,research,18
503538,23,44,28.0,1999-07-01,3,True,article,research,54
500135,11,11,4.0,1999-05-01,1,True,article,research,14
503832,110,130,11.0,1999-05-01,1,True,conference paper,review,41
502718,12,15,17.0,1999-06-01,4,True,article,research,14
502427,7,16,15.0,1999-06-01,4,True,article,research,32
497902,5,9,16.0,1999-04-01,2,True,article,research,13
497906,18,21,8.0,1999-04-01,4,True,article,research,23
493743,18,32,11.0,1999-01-01,3,True,article,research,22
493763,94,111,10.0,1999-01-01,2,True,article,research,28
493845,11,17,15.0,1999-01-01,4,True,article,research,19
493478,6,14,12.0,1999-04-01,3,True,article,research,29
494800,1,1,19.0,1999-02-01,2,True,article,research,21
503264,34,42,4.0,1999-05-01,4,True,conference paper,research,11
505567,1,3,8.0,1999-08-01,2,True,article,research,40
503295,5,5,18.0,1999-01-01,2,True,article,research,43
495790,90,136,11.0,1999-02-01,7,True,article,research,44
500293,21,31,10.0,1999-05-01,2,True,article,research,12
502246,12,13,4.0,1999-05-01,2,False,conference paper,research,11
495342,6,6,18.0,1999-02-01,2,True,article,research,23
495409,15,22,31.0,1999-02-01,5,True,article,research,18
515293,18,19,6.0,1999-05-01,2,True,article,research,10
503543,15,16,10.0,1999-05-01,1,True,conference paper,research,36
500744,13,29,39.0,1999-05-01,2,True,article,research,36
500664,536,593,29.0,1999-05-01,2,True,article,research,43
495788,223,244,14.0,1999-02-01,5,True,article,research,50
515954,18,44,9.0,1999-01-01,8,True,article,research,66
504077,3,6,4.0,1999-07-01,6,True,article,research,26
497710,3,5,5.0,1999-04-01,3,True,article,research,11
494574,13,23,20.0,1999-01-01,3,True,article,research,19
493742,6,15,23.0,1999-01-01,2,True,article,research,25
497577,1,3,27.0,1999-03-01,6,True,article,research,41
497169,29,36,10.0,1999-02-01,1,True,article,research,5
496211,26,33,18.0,1999-03-01,4,True,article,research,64
494974,0,10,9.0,1999-02-01,3,True,article,research,19
495052,77,110,16.0,1999-02-01,2,True,article,research,38
495243,58,67,14.0,1999-02-01,4,True,article,research,21
497383,118,138,18.0,1999-03-01,3,True,article,research,15
495453,27,37,18.0,1999-02-01,4,True,article,research,39
503747,6,11,20.0,1999-07-01,2,True,article,research,17
503828,2,6,21.0,1999-07-01,5,True,article,research,34
503829,5,5,19.0,1999-07-01,2,True,article,research,15
503833,16,38,26.0,1999-07-01,5,True,article,research,56
